n,beta,minimum_distance
2,396,1710.4712800862808
2,406,1712.8140587933065
2,416,1715.2119402569467
2,426,1717.6646937047988
2,436,1720.1720844148122
2,446,1722.5121189704298
2,456,1708.3699833466987
2,466,1694.227847722968
2,476,1680.0857120992368
2,486,1665.943576475506
2,496,1651.801440851775
3,586,1764.1689261519148
3,596,1767.5157707924418
3,606,1770.912759003108
3,616,1774.3596027863123
3,626,1777.8560121674645
3,636,1781.1257675975608
3,646,1763.8052613596547
3,656,1746.4847551582006
3,666,1729.1642489942938
3,676,1711.8437428690738
3,686,1694.5232367837273
4,701,1805.6292531967906
4,711,1809.5350231482118
4,721,1813.487524081707
4,731,1817.4864511186872
4,741,1821.5314984924087
4,751,1825.6223596352013
4,761,1806.0
4,771,1786.0
4,781,1766.0
4,791,1746.0
4,801,1726.0
5,782,1838.5918524784124
5,792,1842.8673310903312
5,802,1847.187050625897
5,812,1851.5507014392017
5,822,1855.9579736621192
5,832,1860.4085572798251
5,842,1838.4953086695652
5,852,1816.1346315733313
5,862,1793.7739545438828
5,872,1771.413277583749
5,882,1749.052600695588
6,843,1865.3538538304201
6,853,1869.8943820440768
6,863,1874.4772604649008
6,873,1879.1021792334764
6,883,1883.7688287048388
6,893,1888.4768995145268
6,903,1864.0616942579986
6,913,1839.5667968301668
6,923,1815.071899402335
6,933,1790.5770019745032
6,943,1766.0821045466714
7,891,1887.5319864839378
7,901,1892.2729718515773
7,911,1897.0548226132
7,921,1901.877230527775
7,931,1906.7398878714423
7,941,1911.6424874960276
7,951,1886.7988764041597
7,961,1860.3413665238968
7,971,1833.8838567368437
7,981,1807.4263470470933
7,991,1780.9688374589825
8,931,1906.7398878714423
8,941,1911.6424874960276
8,951,1916.5847228859986
8,961,1921.5662882138622
8,971,1926.5868783940164
8,981,1931.64618913506
8,991,1903.5314549541858
8,1001,1875.247183706724
8,1011,1846.962912459262
8,1021,1818.6786412118001
8,1031,1790.3943699643382
